"","Cost","HDS"
"1",26264.267254741,120.586882953917
"2",52462.884625999,173.542025666746
"3",42675.5704139778,219.863400262305
"4",47227.5073503707,172.469202272696
"5",24708.1221645191,101.702309488605
"6",80839.2014078523,377.524060486296
"7",13375.0424607748,62.0231546583468
"8",21281.3051943513,94.56139024064
"9",44137.3513639419,200.493794552076
"10",23101.5059547418,79.5088915290123
"11",37150.6318278829,223.620588661566
"12",58272.8090176068,314.579656534767
"13",97651.6243369609,547.500504430037
"14",64702.241234611,400.901479215656
"15",25536.4403782542,105.085493978628
"16",29794.5132621693,195.921367657542
"17",19309.2021343665,68.496656309772
"18",37801.6937755198,114.863412461606
"19",19475.0785278672,76.1486782757754
"20",8858.17535169197,44.5676278167604
"21",35785.0078695759,132.521610138217
"22",26863.1450030487,173.360707456763
"23",129705.77494714,585.384380194954
"24",209299.740769738,915.275494361162
"25",83299.6362127948,404.86278021639
"26",11166.6320963763,37.0533663076961
"27",33345.2509244054,162.155168694879
"28",16053.3929853924,104.613940595979
"29",30393.1458044615,205.019029481036
"30",23724.9155037256,85.8707737110015
"31",53184.7966651799,255.70573256159
"32",421596.792230042,2433.4619411206
"33",34276.7750310709,117.89516405284
"34",18136.5323857646,107.189923393969
"35",15940.5901575183,62.6604198686901
"36",53664.0655564369,307.297954360501
"37",39841.6463647057,209.343440865993
"38",29407.797802798,153.337124828901
"39",18466.8234992033,96.2638589581231
"40",28007.4282304447,160.749873511158
"41",46662.353022384,219.545500947087
"42",29675.0298758434,163.135142145697
"43",207583.523889987,852.921367428979
"44",151562.916651636,433.288171740823
"45",31065.1313077628,179.228130257077
"46",166714.591477673,697.282512603536
"47",54648.6071366685,275.819044819261
"48",14924.0879292479,43.743061330184
"49",13812.2042866825,59.7165554879827
"50",58051.2205465469,276.180558963259
"51",80573.6091431998,301.265249319635
"52",78382.5013693517,305.759959484586
"53",65830.8210282234,195.417049197564
"54",139909.644113222,490.571973880566
"55",51531.1315523756,189.78688184968
"56",21816.076234302,123.82047356624
"57",36903.2857997352,155.909293174567
"58",60846.5564696038,227.333422823267
"59",14556.9740470486,65.517860662512
"60",20012.6601137021,96.3095596130469
"61",10347.3598773823,43.338710190772
"62",16696.7391256645,131.799156013067
"63",33700.3345765012,169.530894142121
"64",115404.603227158,478.306972326872
"65",16390.8648436299,50.9031005178979
"66",14736.3800340953,71.8049926336851
"67",29670.7715907407,90.7003541583461
"68",12526.8256749676,74.7911967493745
"69",77441.9807742361,354.730170871369
"70",20056.0870574149,80.5436141231816
"71",57547.8069101574,208.049945613072
"72",20763.4589596627,77.605270415955
"73",23917.7276560082,196.150994963143
"74",70490.5080141888,309.059948763696
"75",33648.2498604617,149.886138004125
"76",23327.8711518908,80.7951489435545
"77",36313.969171733,135.768690085723
"78",31957.6828506378,154.037726821271
"79",30986.538039585,128.244821423875
"80",21308.6234934334,71.8091430243909
"81",23176.5429790468,171.444292553509
"82",651172.773309489,2395.47706562361
"83",66828.3404507537,192.210308756493
"84",16030.0893887751,87.4632351546844
"85",35300.3380265914,142.863141617961
"86",20169.9964031816,81.1920260177538
"87",250130.20937271,1325.16823119297
"88",364464.183301837,1605.88897585471
"89",37744.8150428083,113.559496635599
"90",84706.1650989099,347.322529729031
"91",84737.2645639263,275.092240480713
"92",50871.5674684533,152.689115536497
"93",31986.7831693901,227.699324446635
"94",16191.5761956308,90.2328179280998
"95",17684.6554692534,97.2836222986505
"96",50032.363084839,340.731602491949
"97",89062.9475381137,407.576062611503
"98",10510.1857672698,62.9382192849384
"99",14129.4632490437,68.5732415206193
"100",56046.923384659,204.731973016391
"101",30016.979614556,135.968970776424
"102",68609.0974091126,516.616615490342
"103",88993.7795891431,434.941843251077
"104",69470.1672013185,373.390635743703
"105",27993.0791459493,89.7646902868216
"106",19394.6420301608,109.763428929845
"107",21958.0673226668,107.235651373831
"108",16884.3045660808,73.2551876950186
"109",94507.900402346,402.95689141545
"110",130248.062812023,650.378258824155
"111",155021.552800803,1401.62396579678
"112",23307.1176276315,129.236230698075
"113",23899.3102314949,114.279608412843
"114",39194.3346024053,158.616165945244
"115",10350.9656620765,40.8740967030605
"116",34305.2810545247,129.657185161108
"117",142216.368116115,912.349149482081
"118",27970.4458871482,81.6336347604059
"119",445373.235942207,2312.6858217709
"120",24471.994583893,115.676260082977
"121",28141.5949494825,132.662761468891
"122",20792.7122948044,101.908804109068
"123",120723.790222284,546.671984835137
"124",25954.890905266,114.032578406473
"125",157743.062583022,455.801728419652
"126",20515.8484896243,84.0453222285932
"127",30154.9938764168,136.382518494925
"128",27150.9653286627,110.160389015164
"129",52486.7834566761,267.866914181215
"130",23829.8299202824,127.981785272195
"131",30569.8144976502,100.410032857985
"132",19037.9249784872,115.271084743579
"133",110648.768219044,639.663735515288
"134",12007.3041263495,69.5798175428625
"135",27779.1185221916,87.8602391788158
"136",148140.146506679,823.184427748003
"137",110965.17837269,437.438998031566
"138",79652.9519531241,498.438099364703
"139",14268.0790945852,59.2896251499667
"140",24838.0278196078,134.230742396654
"141",64630.7534790356,220.135449630041
"142",13562.1976404982,73.9601701152632
"143",13429.7550955697,80.8579474266014
"144",33092.6620877751,133.61857221691
"145",11613.167407171,64.9293048666009
"146",50504.2525203141,348.295188073841
"147",110893.598509186,298.981919049911
"148",21166.2392331207,122.286017612226
"149",46557.1102669282,160.830506263474
"150",40978.3325579062,258.66979877003
"151",34708.2015646375,131.1762930479
"152",70992.4269101485,462.68441283626
"153",22547.573537853,96.6614511137759
"154",177788.872007187,760.978176790458
