"","Cost","HDS"
"8965",696214.864907573,627.975683943592
"8966",162087.450210157,103.204439146242
"8967",500691.615531758,611.703521575504
"8968",331476.090075753,525.287421532296
"8969",414253.570053192,452.942690455644
"8970",1001698.61048209,940.457799538529
"8971",404370.841970118,564.750884043433
"8972",295546.271684806,201.987048135765
"8973",64441.5550612644,118.452462659313
"8974",229715.248093942,221.92804960728
"8975",295397.906370868,357.786511016389
"8976",222407.236233404,209.872305037624
"8977",212050.220767517,243.126764413664
"8978",1926682.58304979,1831.18466796204
"8979",119600.684318372,105.129639700262
"8980",160029.81509694,189.286596326219
"8981",69478.4085327086,69.2072632191598
"8982",98204.3711529206,122.747224652677
"8983",547626.691926034,513.850794802361
"8984",349564.520276354,256.144714715711
"8985",268470.830623962,279.70409959453
"8986",158924.280838992,182.447803992818
"8987",324115.559943498,437.253611584688
"8988",220034.160480246,234.68728239718
"8989",730360.588990525,557.400048529945
"8990",80534.1465918057,110.658836793289
"8991",157018.482310601,167.038700986233
"8992",334556.254219278,250.590741496528
"8993",155986.119323095,141.490213009009
"8994",746881.455187872,1166.64449383997
"8995",74446.7588236864,104.654898169268
"8996",559586.04734351,700.93338007567
"8997",732445.109715908,1076.02989746594
"8998",141498.193354981,237.210454590539
"8999",118437.664905843,121.392781002803
"9000",279211.721647628,203.974400310714
"9001",86685.3843059049,143.191671441266
"9002",1183400.69716347,1576.82097146862
"9003",407386.161143425,621.172477567008
"9004",142331.645685974,132.7965402947
"9005",201120.633227587,189.341048795024
"9006",439985.455168521,528.859092639612
"9007",247751.387412936,311.680820553935
"9008",156594.153856247,137.676481001235
"9009",93263.7333662584,99.199034851679
"9010",4437432.02932494,4704.92506921058
"9011",235808.653450308,325.762552274181
"9012",316896.683382097,301.425963347748
"9013",387755.412162629,382.254742298255
"9014",577203.854959209,1041.63724658907
"9015",325480.822146439,361.846672271887
"9016",540865.021854042,529.888370407021
"9017",132148.582385503,115.809946428415
"9018",147087.529565421,146.744713437719
"9019",220947.734203035,273.608891358231
"9020",149968.985075361,115.594697887216
"9021",248424.936790611,345.273148310072
"9022",383931.015389586,310.480004842743
"9023",543224.148295461,453.815333970645
"9024",348603.575050094,317.47387517272
"9025",526728.236680633,729.832638026017
"9026",127049.028845113,114.023346546949
"9027",1786612.27746393,3141.57899539155
"9028",177493.720195843,184.691423475417
"9029",746337.326514393,1114.95073004941
"9030",277321.298177475,273.949879394017
"9031",209246.65301755,216.387974522471
"9032",469244.570298987,517.11893885468
"9033",318375.613975353,343.376098894421
"9034",159996.401935772,230.691101453481
"9035",230278.604745242,499.368727194053
"9036",193987.461297839,175.710589367391
"9037",322869.412770733,423.820607188472
"9038",601294.787685804,533.373345734158
"9039",473458.273662237,481.990535885223
"9040",1019021.26962931,1135.3095020562
"9041",4215190.31927411,5454.93755507019
"9042",136119.555657735,150.484797965684
"9043",165069.713514042,127.513760688709
"9044",4771051.99901871,3945.80477289165
"9045",117298.794785697,126.65280902386
"9046",367570.591559287,828.299456884519
"9047",117671.585892494,270.062594300959
"9048",437273.355683205,866.718555569512
"9049",125153.964831275,147.467930793145
"9050",457398.584322061,466.69205621296
"9051",728771.561791472,1039.85730113305
"9052",266659.342204387,445.463786178061
"9053",263707.513604343,257.795142545674
"9054",305004.353809365,198.324600366039
"9055",165996.509444664,217.784379659573
"9056",300135.30162013,271.177355415836
"9057",734371.64253755,873.793818947644
"9058",257110.468396345,267.041985624392
"9059",447688.195992146,328.638776003885
"9060",292846.312499527,468.21707637607
"9061",463243.493939373,495.051942364587
"9062",390696.371672045,445.211947572042
"9063",384807.164929022,407.709711832102
"9064",107724.671596022,107.338017617172
"9065",574527.224195294,350.791436852115
"9066",404729.783821508,410.877741964951
"9067",133443.894938152,185.482423813462
"9068",442479.50388329,480.468570037664
"9069",83660.3960879808,56.8076357955009
"9070",154991.498343595,180.090111568464
"9071",176609.721232376,128.127121870578
"9072",108328.290660333,141.142869054821
"9073",792830.145579489,1173.95398037577
"9074",406759.101048797,290.04966769049
"9075",211025.212157255,304.76345569072
"9076",452546.971690875,450.046427450656
"9077",195178.99569755,134.029620089686
"9078",732256.600660905,744.216825562342
"9079",430732.301160102,440.062072661174
"9080",370081.508158245,451.59052456371
"9081",800271.811968161,586.008732675992
"9082",448237.693978039,359.675663639085
"9083",284238.829203581,211.987929515236
"9084",76852.6627027063,96.7923486220106
"9085",267532.92500604,251.546689535291
"9086",1000101.93807191,1065.06514600261
"9087",144817.834111781,169.100991512539
"9088",110700.795082431,66.1456015401241
"9089",5514679.3638278,5446.34517842309
"9090",2205442.92297563,2247.94284833528
"9091",495406.264075059,357.345997529131
"9092",287880.682233027,418.19787148592
"9093",260521.849096135,348.733491524813
"9094",260834.002288033,254.402083922525
"9095",963571.646009671,608.749320257364
"9096",131224.981114251,181.455775094292
"9097",203396.635762268,169.69588999144
"9098",192375.149675057,239.682010864234
"9099",1290530.52313681,840.551911020387
"9100",721867.878408733,1395.33884939456
"9101",245264.487057185,222.383672413464
"9102",313249.532310417,389.146290957311
"9103",406670.461042918,545.702372785349
"9104",869771.250968592,481.145934487776
"9105",208217.280901275,293.900245292513
"9106",1012658.370695,783.672604141797
"9107",83805.5878135753,72.2680621906399
"9108",328262.815751727,345.520427067877
"9109",186709.907844385,274.062342068407
"9110",96943.5769169571,109.767395064302
"9111",205484.462864383,123.803811122629
"9112",1273647.5273645,1159.58898971372
"9113",129543.272073093,104.301837674722
"9114",362599.537472812,261.717299443719
"9115",464958.309607799,290.237328873724
"9116",242155.943575988,415.12108411167
"9117",203626.185021553,381.139434049462
"9118",268532.707849146,296.649103956406
"9119",640892.571510742,818.780381854651
"9120",84798.905907423,118.58217260089
"9121",157821.207693418,147.541696103211
"9122",229045.827336354,332.596534384785
"9123",530698.074577645,698.660762849638
"9124",351636.135202808,447.943768414408
"9125",1193409.78882631,1238.71920027679
"9126",244307.721679899,441.044007435028
"9127",388654.605940683,224.585904494484
"9128",69890.0831414466,61.4774692885766
"9129",133133.575965651,159.957823136358
"9130",475741.522658247,651.307217536222
"9131",301899.902324656,475.296186068956
"9132",1243106.27019817,1724.25119411696
"9133",145818.982508337,106.555698309672
"9134",280915.564268531,424.139215450811
"9135",174496.95314333,237.963645384365
"9136",616707.505214104,551.57527585003
"9137",374471.964887726,380.073621807315
"9138",997125.314979681,1292.69875273248
